,state_code,file_closing_days,file_reach_days,decide_close_days,Year
0,Andhra Pradesh,829.9186997118426,190.9558373876861,0.4810584941869678,2012
1,Assam,752.194067412514,274.96226235061187,1.6491495908971636,2012
2,Bihar,1237.7116033712634,559.9050164723003,6.551619944620733,2012
3,Chandigarh,594.1049919317057,111.882671386185,8.375045546822133,2012
4,Chattisgarh,926.4267105044115,224.37418844681204,1.4249902891071529,2012
5,DNH at silvasa,853.4828462515883,44.28081321473952,0.015247776365946633,2012
6,Delhi,655.7375275851198,77.74454208701135,3.8288540353089533,2012
7,Diu and daman,417.8605015673981,44.97884012539185,0.0054858934169279,2012
8,Goa,433.3123048094941,109.04285782924134,14.602796329217316,2012
9,Gujarath,728.0556107074108,267.6670815653944,2.673478900635954,2012
10,Haryana,699.4713501032713,170.06986822761178,2.5089020771513355,2012
11,Himachal Pradesh,740.865673716612,148.12735577400457,1.6759408201767452,2012
12,Jammu and kashmir,709.2586427072881,295.99808446593084,0.35364407552677185,2012
13,Jharkhand,992.1420007908264,337.75835508105973,1.7436773428232504,2012
14,Karnataka,556.1253104368483,98.85676906583575,4.28031483309681,2012
15,Kerala,706.9601319021544,214.0489035873292,4.094573588864439,2012
16,Ladakh,2270.8333333333335,1811.5,0.0,2012
17,Madhya Pradesh,769.7175589885815,277.1390429657877,9.086990553160142,2012
18,Maharashtra,706.8158287061326,62.82612091415603,1.7646062467803467,2012
19,Manipur,695.2054478301015,241.50184672206834,1.399353647276085,2012
20,Meghalaya,644.3426375404531,66.17880258899676,0.34182847896440127,2012
21,Mizoram,184.46647230320698,94.44081632653061,0.0,2012
22,Orissa,1212.9804127999168,571.4316982505394,8.808144220021315,2012
23,Punjab,640.5426853097374,118.08525132356752,1.6530216830595699,2012
24,Rajasthan,954.3093299960098,282.72044836217214,5.286349620923568,2012
25,Sikkim,392.6090395480226,140.0180790960452,0.9853107344632769,2012
26,Tamilnadu,926.6052865346841,256.39920093085715,1.0182751617114092,2012
27,Telangana,819.4459154753143,206.3571238432269,0.48106885050811893,2012
28,Tripura,670.7771423032183,167.68670027142304,0.5941256300891818,2012
29,Uttar pradesh,898.2681424268578,295.28736664729126,14.119828087295017,2012
30,Uttarakhand,694.2332246983176,305.83729410728444,3.8501717607680788,2012
31,West Bengal,791.9254117086003,319.18507464982656,2.8386163821948047,2012
