year,state,dismissed_count,prison_count,withdrawal_count,avg_decision_end_per1lakhcases,avg_fileend_per1lakhcases,avg_filecourt_per1lakhcases,pendingcases_count,pending_casesperlakh,criminal_count,criminal_perlakh,noncriminal_count,noncriminal_perlakh
2016,Andhra Pradesh,0,0,0,0,1119,202,2658,0.02658,31566,0.31566,16792,0.16792
2016,Assam,0,105,0,0,1666,443,1951,0.01951,14921,0.14921,13121,0.13121
2016,Bihar,7,4,708,9,910,321,4275,0.04275,16212,0.16212,53374,0.53374
2016,Chandigarh,0,2,23,1,9404,167,0,0.0,3689,0.03689,552,0.00552
2016,Chattisgarh,59,93,56,0,1267,148,8536,0.08536,20159,0.20159,11544,0.11544
2016,DNH at silvasa,0,4,0,0,300390,13205,0,0.0,57,0.00057,94,0.00094
2016,Delhi,6,278,1493,0,1156,125,0,0.0,31419,0.31419,16023,0.16023
2016,Diu and daman,0,0,0,0,70814,8871,0,0.0,141,0.00141,102,0.00102
2016,Goa,0,0,0,0,8183,1160,0,0.0,3536,0.03536,1132,0.01132
2016,Gujarath,0,23793,0,0,256,25,1574,0.01574,93091,0.93091,37679,0.37679
2016,Haryana,9,0,1127,0,350,30,3540,0.0354,80000,0.8,20286,0.20286
2016,Himachal Pradesh,0,0,0,0,2425,313,1222,0.01222,13840,0.1384,5709,0.05709
2016,Jammu and kashmir,8,0,0,5,8635,3793,193,0.00193,6921,0.06921,1700,0.017
2016,Jharkhand,3,243,76,10,2198,293,800,0.008,6619,0.06619,16415,0.16415
2016,Karnataka,1,14477,0,2,188,17,34022,0.34022,138116,1.38116,50496,0.50496
2016,Kerala,10,7147,1,0,334,74,1651,0.01651,84986,0.84986,58915,0.58915
2016,Ladakh,0,0,0,18903,2687712,1605482,0,0.0,19,0.00019,4,4e-05
2016,Madhya Pradesh,0,0,0,2,392,48,16011,0.16011,71265,0.71265,63918,0.63918
2016,Maharashtra,4,2092,0,0,244,14,15243,0.15243,151540,1.5154,68637,0.68637
2016,Manipur,0,0,0,18,8655,550,0,0.0,1179,0.01179,1000,0.01
2016,Meghalaya,0,8,0,5,31606,1213,0,0.0,712,0.00712,213,0.00213
2016,Mizoram,0,0,0,0,380658,183981,2,2e-05,120,0.0012,49,0.00049
2016,Orissa,2,3,44,19,1744,323,4705,0.04705,23500,0.235,16732,0.16732
2016,Punjab,0,0,158,0,481,17,10544,0.10544,55077,0.55077,22465,0.22465
2016,Rajasthan,65,789,25,2,598,98,9652,0.09652,58064,0.58064,40893,0.40893
2016,Sikkim,0,12,1,0,12767,1106,0,0.0,374,0.00374,367,0.00367
2016,Tamilnadu,0,0,0,2,593,90,34705,0.34705,62284,0.62284,30448,0.30448
2016,Telangana,0,0,0,3,2089,547,0,0.0,15472,0.15472,13484,0.13484
2016,Tripura,1,11,1,13,18742,1467,14,0.00014,1269,0.01269,1150,0.0115
2016,Uttar pradesh,60,0,965,3,137,21,23265,0.23265,240573,2.40573,138886,1.38886
2016,Uttarakhand,1,232,0,6,2761,241,346,0.00346,13571,0.13571,2732,0.02732
2016,West Bengal,0,189,0,2,1112,219,3207,0.03207,34524,0.34524,29443,0.29443
