state,file_closing_days,file_reach_days,decide_close_days,year
Andhra Pradesh,1000.34085942561,404.3082703519758,0.4236838695746059,2010
Assam,0.0,0.0,0.0,2010
Bihar,0.0,0.0,0.0,2010
Chandigarh,0.0,0.0,0.0,2010
Chattisgarh,0.0,0.0,0.0,2010
DNH at silvasa,0.0,0.0,0.0,2010
Delhi,0.0,0.0,0.0,2010
Diu and daman,0.0,0.0,0.0,2010
Goa,0.0,0.0,0.0,2010
Gujarath,0.0,0.0,0.0,2010
Haryana,0.0,0.0,0.0,2010
Himachal Pradesh,0.0,0.0,0.0,2010
Jammu and kashmir,0.0,0.0,0.0,2010
Jharkhand,0.0,0.0,0.0,2010
Karnataka,790.3720535901193,360.2851999162654,13.26035168515805,2010
Kerala,0.0,0.0,0.0,2010
Ladakh,0.0,0.0,0.0,2010
Madhya Pradesh,0.0,0.0,0.0,2010
Maharashtra,828.6091161630185,114.54193566717508,3.7478410005204585,2010
Manipur,0.0,0.0,0.0,2010
Meghalaya,0.0,0.0,0.0,2010
Mizoram,0.0,0.0,0.0,2010
Orissa,0.0,0.0,0.0,2010
Punjab,0.0,0.0,0.0,2010
Rajasthan,0.0,0.0,0.0,2010
Sikkim,0.0,0.0,0.0,2010
Tamilnadu,0.0,0.0,0.0,2010
Telangana,0.0,0.0,0.0,2010
Tripura,0.0,0.0,0.0,2010
Uttar pradesh,0.0,0.0,0.0,2010
Uttarakhand,0.0,0.0,0.0,2010
West Bengal,0.0,0.0,0.0,2010
Andhra Pradesh,885.3202312138728,246.56466477254173,0.3808040233826459,2011
Assam,893.3290050364736,317.1119166827616,2.431606471645693,2011
Bihar,1563.6037207793086,852.3053012992983,6.083379527601639,2011
Chandigarh,833.9516041694869,156.2685122512522,35.29132259374577,2011
Chattisgarh,1127.9176330011137,379.6628465904462,23.631045813757705,2011
DNH at silvasa,909.1195814648728,101.59790732436473,0.9581464872944694,2011
Delhi,718.2349099503065,100.1618256823625,7.123379158270118,2011
Diu and daman,784.8029197080292,88.2080291970803,0.0,2011
Goa,483.5758259911895,96.20859030837003,20.42852422907489,2011
Gujarath,913.664669795784,382.14665678524375,3.7598196640316206,2011
Haryana,823.9104208450609,279.0565621155175,3.5816886611722536,2011
Himachal Pradesh,1013.2156747652105,315.0763576970192,2.614817272356064,2011
Jammu and kashmir,978.2531541864656,446.5418100387788,0.4436069692500956,2011
Jharkhand,1405.904342673326,596.4412723270973,3.1342800304749003,2011
Karnataka,687.7003782531492,169.726009945746,6.921983443431725,2011
Kerala,883.7127957547339,282.836270000358,15.151121272863945,2011
Ladakh,2526.6666666666665,2243.0,0.0,2011
Madhya Pradesh,833.4785397985844,360.0436257252554,8.950651963249635,2011
Maharashtra,762.8286904994965,89.74535108831813,2.1021756126147912,2011
Manipur,1186.6376146788991,609.8064220183486,0.563302752293578,2011
Meghalaya,687.0967741935484,129.78552746294682,0.037489102005231,2011
Mizoram,551.215625,372.7796875,0.0,2011
Orissa,1595.0635488783184,931.2121854346224,7.432848239375814,2011
Punjab,891.4246336801868,294.7698207080666,2.3786123835815918,2011
Rajasthan,1321.8892189092028,558.8622373454832,5.03735797912221,2011
Sikkim,701.7374701670644,423.48926014319807,2.5632458233890216,2011
Tamilnadu,1077.501884000789,361.01431741960937,0.9950976523969224,2011
Telangana,953.43394134938,285.06488583616226,0.5094963330991004,2011
Tripura,818.2018984094408,216.2612878399179,0.306310928681375,2011
Uttar pradesh,1197.2276875743064,526.3726361039909,14.725859319026156,2011
