year,state,dismissed_count,prison_count,withdrawal_count,avg_decision_end_per1lakhcases,avg_fileend_per1lakhcases,avg_filecourt_per1lakhcases,pendingcases_count,pending_casesperlakh,criminal_count,criminal_perlakh,noncriminal_count,noncriminal_perlakh,total_cases,avgyears_fileend_per1lakhcases,avgyears_filecourt_per1lakhcases
2011,Rajasthan,14290,16,8920,3,628,234,17202,0.17202,23308,2.28741,22272,2.27705,251013,1.72054794520548,0.641095890410959
2012,Rajasthan,19903,14,12195,2,363,93,170,0.0017,25974,3.0347,24741,3.02041,330951,0.994520547945205,0.254794520547945
2013,Rajasthan,21428,14,15145,0,205,43,283,0.00283,61164,4.00004,37006,3.75846,437010,0.561643835616438,0.117808219178082
2014,Rajasthan,5405,2,3347,1,646,120,1667,0.01667,125828,1.01193,85605,0.89975,447139,1.76986301369863,0.328767123287671
2015,Rajasthan,7337,2,4703,1,386,60,11267,0.11267,350964,1.11924,230467,0.74268,585688,1.05753424657534,0.164383561643836
2016,Rajasthan,65,789,25,2,598,98,9652,0.09652,326639,0.58064,228206,0.40893,559176,1.63835616438356,0.268493150684932
2017,Rajasthan,129,8047,10,0,110,15,127745,1.27745,525791,2.0499,375976,1.47316,913171,0.301369863013699,0.041095890410959
2018,Rajasthan,55,9,0,0,84,19,0,0,355494,1.4819,273694,1.19924,865734,0.23013698630137,0.052054794520548
2010,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Sikkim,12,0,35,645,167288,101125,1,1E-05,24,0.00366,57,0.00399,423,458.323287671233,277.054794520548
2012,Sikkim,26,0,57,121,44366,15857,0,0,98,0.00734,142,0.00779,886,121.550684931507,43.4438356164384
2013,Sikkim,43,0,356,11,3454,492,1,1E-05,381,0.02942,458,0.03019,3400,9.46301369863014,1.34794520547945
2014,Sikkim,14,0,110,60,9390,1089,81,0.00081,2451,0.00589,2423,0.00613,4911,25.7260273972603,2.98356164383562
2015,Sikkim,19,0,161,16,8498,703,51,0.00051,2550,0.00766,2170,0.00676,4732,23.2821917808219,1.92602739726027
2016,Sikkim,0,12,1,0,12767,1106,0,0,2646,0.00374,2428,0.00367,5075,34.9780821917808,3.03013698630137
2017,Sikkim,2,24,0,0,7315,452,0,0,2419,0.00905,1887,0.00745,4561,20.041095890411,1.23835616438356
2018,Sikkim,0,4,0,0,7471,531,0,0,1671,0.00491,1628,0.0052,4078,20.4684931506849,1.45479452054795
2010,Tamilnadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Tamilnadu,67246,0,2228,0,557,180,12762,0.12762,50938,2.09008,12794,1.70864,221802,1.52602739726027,0.493150684931507
2012,Tamilnadu,79295,0,2390,0,407,109,428,0.00428,55726,2.50103,16888,2.06983,268919,1.11506849315069,0.298630136986301
2013,Tamilnadu,87127,0,2935,0,285,62,805,0.00805,91568,3.00431,26666,2.35529,327097,0.780821917808219,0.16986301369863
2014,Tamilnadu,25235,0,828,1,687,123,7020,0.0702,221911,0.82206,108621,0.50163,401418,1.88219178082192,0.336986301369863
2015,Tamilnadu,25910,0,948,1,456,67,12204,0.12204,314430,1.01505,139146,0.4658,461290,1.24931506849315,0.183561643835616
2016,Tamilnadu,0,0,0,2,593,90,34705,0.34705,333300,0.62284,150259,0.30448,505604,1.62465753424658,0.246575342465753
2017,Tamilnadu,0,0,0,0,149,21,40631,0.40631,404438,1.75175,165894,0.81654,624243,0.408219178082192,0.057534246575343
2018,Tamilnadu,0,0,0,1,97,17,0,0,353519,1.37797,136571,0.61963,658724,0.265753424657534,0.046575342465754
2010,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Telangana,23536,0,1154,0,899,298,5094,0.05094,50173,0.75294,37473,0.62594,112767,2.46301369863014,0.816438356164383
2012,Telangana,28547,0,1127,0,675,178,480,0.0048,55790,0.83434,48000,0.74818,136802,1.84931506849315,0.487671232876712
2013,Telangana,30405,0,1509,0,493,123,579,0.00579,77568,0.98356,70763,0.91551,169119,1.35068493150685,0.336986301369863
2014,Telangana,6740,0,302,2,1795,469,768,0.00768,94917,0.24382,81804,0.21086,183129,4.91780821917808,1.28493150684932
2015,Telangana,8112,0,458,1,1183,293,672,0.00672,103208,0.32917,90487,0.29176,195023,3.24109589041096,0.802739726027397
2016,Telangana,0,0,0,3,2089,547,0,0,106978,0.15472,93303,0.13484,204123,5.72328767123288,1.4986301369863
2017,Telangana,0,0,0,0,544,150,0,0,105193,0.42992,100343,0.40997,228752,1.49041095890411,0.410958904109589
2018,Telangana,0,0,0,1,393,129,0,0,101017,0.32018,84602,0.27368,236422,1.07671232876712,0.353424657534247
2010,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Tripura,536,0,86,3,11092,2822,235,0.00235,540,0.06377,1737,0.07574,8114,30.3890410958904,7.73150684931507
2012,Tripura,735,0,87,5,7009,1667,2,2E-05,1192,0.07681,2874,0.09584,10902,19.2027397260274,4.56712328767123
2013,Tripura,802,0,108,3,5433,875,7,7E-05,2138,0.08244,4547,0.10653,12791,14.8849315068493,2.3972602739726
2014,Tripura,212,0,24,13,19561,2443,17,0.00017,6589,0.0164,7042,0.01712,13701,53.5917808219178,6.69315068493151
2015,Tripura,307,0,41,13,14179,1534,5,5E-05,6546,0.02082,5570,0.01728,12127,38.8465753424658,4.2027397260274
2016,Tripura,1,11,1,13,18742,1467,14,0.00014,7124,0.01269,6641,0.0115,13772,51.3479452054795,4.01917808219178
2017,Tripura,1,26,0,7,7900,666,0,0,6337,0.0238,5587,0.02064,12566,21.6438356164384,1.82465753424658
2018,Tripura,1,23,0,13,6606,855,0,0,5577,0.01669,4494,0.01367,12430,18.0986301369863,2.34246575342466
2010,Uttar pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Uttar pradesh,76479,0,1693,6,234,82,37043,0.37043,90152,6.92935,70766,6.73549,763701,0.641095890410959,0.224657534246575
2012,Uttar pradesh,98376,0,2166,4,142,38,3203,0.03203,96614,8.79105,74117,8.54263,961480,0.389041095890411,0.104109589041096
2013,Uttar pradesh,106043,0,2433,4,114,32,4147,0.04147,165662,8.87087,117472,8.38897,1004559,0.312328767123288,0.087671232876712
2014,Uttar pradesh,28140,0,674,6,311,78,9091,0.09091,450862,2.18253,268968,1.73288,1167900,0.852054794520548,0.213698630136986
2015,Uttar pradesh,39099,0,1135,2,123,19,12189,0.12189,1032538,3.72371,541150,2.16856,1721962,0.336986301369863,0.052054794520548
2016,Uttar pradesh,60,0,965,3,137,21,23265,0.23265,1281885,2.40573,701527,1.38886,2076121,0.375342465753425,0.057534246575343
2017,Uttar pradesh,127,33,1150,0,35,5,62466,0.62466,1295835,5.90719,808704,3.92831,2391896,0.095890410958904,0.013698630136986
2018,Uttar pradesh,75,9,535,0,25,4,0,0,1051070,4.35728,803365,3.50077,2550912,0.068493150684932,0.010958904109589
2010,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Uttarakhand,8638,0,162,18,2572,1116,1186,0.01186,18164,0.37423,1947,0.21206,39370,7.04657534246575,3.05753424657534
2012,Uttarakhand,16966,0,305,9,1315,505,31,0.00031,34276,0.59919,2769,0.24828,63004,3.6027397260274,1.38356164383562
2013,Uttarakhand,13672,0,566,9,671,113,92,0.00092,57123,0.7932,5414,0.27611,84734,1.83835616438356,0.30958904109589
2014,Uttarakhand,2828,0,187,28,1942,271,1486,0.01486,88131,0.22425,12651,0.04178,105319,5.32054794520548,0.742465753424658
2015,Uttarakhand,3414,0,352,23,1938,163,351,0.00351,71395,0.2383,13159,0.05188,87826,5.30958904109589,0.446575342465753
2016,Uttarakhand,1,232,0,6,2761,241,346,0.00346,77602,0.13571,14505,0.02732,92937,7.56438356164384,0.66027397260274
2017,Uttarakhand,0,405,0,0,807,95,0,0,95652,0.39058,15870,0.0657,118039,2.21095890410959,0.26027397260274
2018,Uttarakhand,1,249,0,1,536,115,0,0,83847,0.32287,14881,0.11551,151216,1.46849315068493,0.315068493150685
2010,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,West Bengal,32106,0,621,2,1142,599,13116,0.13116,19708,1.28006,18124,1.26422,146130,3.12876712328767,1.64109589041096
2012,West Bengal,41395,0,1043,2,643,307,3249,0.03249,23177,1.77796,24913,1.79612,205429,1.76164383561644,0.841095890410959
2013,West Bengal,41932,0,1198,1,456,186,7668,0.07668,35895,2.06383,33437,2.03925,239820,1.24931506849315,0.50958904109589
2014,West Bengal,10629,0,507,2,1707,617,7970,0.0797,109395,0.45604,64233,0.34744,254380,4.67671232876712,1.69041095890411
2015,West Bengal,20955,19,2560,2,685,175,6027,0.06027,225335,0.74249,146027,0.4913,381017,1.87671232876712,0.479452054794521
2016,West Bengal,0,189,0,2,1112,219,3207,0.03207,186727,0.34524,157430,0.29443,353949,3.04657534246575,0.6
2017,West Bengal,1,3652,0,0,280,36,0,0,212715,0.91193,196775,0.84525,444120,0.767123287671233,0.098630136986301
2018,West Bengal,0,6281,0,0,233,24,0,0,192433,0.59874,185322,0.57621,473084,0.638356164383562,0.065753424657534
