year,state,dismissed_count,prison_count,withdrawal_count,avg_decision_end_per1lakhcases,avg_fileend_per1lakhcases,avg_filecourt_per1lakhcases,pendingcases_count,pending_casesperlakh,criminal_count,criminal_perlakh,noncriminal_count,noncriminal_perlakh,total_cases,avgyears_fileend_per1lakhcases,avgyears_filecourt_per1lakhcases
2013,Delhi,19709,2,22472,10,523,58,543,0.00543,55164,1.27004,19823,0.91663,146287,1.43287671232877,0.158904109589041
2014,Delhi,5389,1,5796,37,1719,215,752,0.00752,67139,0.35622,23379,0.25111,172409,4.70958904109589,0.589041095890411
2015,Delhi,7905,8,9246,5,987,114,759,0.00759,84576,0.55415,33582,0.39499,209976,2.7041095890411,0.312328767123288
2016,Delhi,6,278,1493,0,1156,125,0,0,193141,0.31419,84254,0.16023,308537,3.16712328767123,0.342465753424657
2017,Delhi,11,833,5034,0,256,21,0,0,261745,0.9703,104030,0.38537,387146,0.701369863013699,0.057534246575343
2018,Delhi,5,693,3662,0,191,14,0,0,211664,0.69371,97808,0.34886,403869,0.523287671232877,0.038356164383562
2010,Diu and daman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Diu and daman,57,0,31,0,125385,16274,14,0.00014,361,0.00368,221,0.00228,589,343.520547945205,44.586301369863
2012,Diu and daman,99,0,96,0,30886,3536,0,0,883,0.01021,280,0.00342,1332,84.6191780821918,9.68767123287671
2013,Diu and daman,33,0,46,0,25849,1928,129,0.00129,999,0.01091,300,0.00392,1391,70.8191780821918,5.28219178082192
2014,Diu and daman,4,0,9,0,121244,16820,4,4E-05,718,0.00178,"264,",0.00075,990,332.175342465753,46.0821917808219
2015,Diu and daman,13,0,17,0,43816,4890,0,0,1060,0.00343,511,0.0015,1581,120.043835616438,13.3972602739726
2016,Diu and daman,0,0,0,0,70814,8871,0,0,908,0.00141,618,0.00102,1589,194.01095890411,24.3041095890411
2017,Diu and daman,0,0,0,0,24610,2509,0,0,908,0.00385,463,0.00229,1558,67.4246575342466,6.87397260273973
2018,Diu and daman,0,0,0,0,18617,2583,0,0,1045,0.00337,260,0.00092,1644,51.0054794520548,7.07671232876712
2010,DNH at silvasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,DNH at silvasa,60,0,65,147,135830,15277,56,0.00056,186,0.00381,289,0.00484,670,372.13698630137,41.8547945205479
2012,DNH at silvasa,66,0,66,1,108045,5640,0,0,169,0.00456,297,0.00599,790,296.013698630137,15.4520547945205
2013,DNH at silvasa,65,0,89,0,37736,1866,0,0,414,0.00888,528,0.01002,1416,103.386301369863,5.11232876712329
2014,DNH at silvasa,23,0,14,0,229785,14884,0,0,378,0.00153,492,0.0017,1069,629.54794520548,40.7780821917808
2015,DNH at silvasa,35,0,31,0,126743,10691,0,0,670,0.0019,591,0.00189,1261,347.241095890411,29.2904109589041
2016,DNH at silvasa,0,4,0,0,300390,13205,0,0,434,0.00057,572,0.00094,1006,822.986301369863,36.1780821917808
2017,DNH at silvasa,0,2,0,0,95954,4190,0,0,426,0.00149,435,0.00173,903,262.887671232877,11.4794520547945
2018,DNH at silvasa,0,50,0,0,54424,5831,0,0,591,0.00191,459,0.00143,1298,149.106849315069,15.9753424657534
2010,Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Goa,17,0,108,149,3068,516,5287,0.05287,3646,0.2297,918,0.20242,23888,8.4054794520548,1.41369863013699
2012,Goa,26,0,88,83,2403,502,4931,0.04931,5174,0.24438,2010,0.20889,26638,6.58356164383562,1.37534246575342
2013,Goa,18,0,93,64,2029,367,5448,0.05448,7800,0.25937,3562,0.21699,29499,5.55890410958904,1.00547945205479
2014,Goa,6,0,34,117,6849,1359,6639,0.06639,6895,0.0716,3864,0.06433,33592,18.7643835616438,3.72328767123288
2015,Goa,22,0,61,19,4380,910,6624,0.06624,9483,0.11202,4262,0.09575,40025,12,2.49315068493151
2016,Goa,0,0,0,0,8183,1160,0,0,23637,0.03536,6030,0.01132,31481,22.4191780821918,3.17808219178082
2017,Goa,0,0,0,0,2104,194,0,0,24361,0.09178,6265,0.02371,32446,5.76438356164384,0.531506849315069
2018,Goa,0,0,0,0,1447,218,0,0,25960,0.07776,6076,0.01846,39453,3.96438356164384,0.597260273972603
2010,Gujarath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Gujarath,29781,0,32967,1,282,113,22536,0.22536,207547,2.74008,99465,1.65926,373473,0.772602739726027,0.30958904109589
2012,Gujarath,30255,0,35241,0,202,68,4234,0.04234,226687,3.30509,111031,2.01861,453985,0.553424657534247,0.186301369863014
2013,Gujarath,27380,0,37745,0,116,27,6066,0.06066,332981,4.15864,153536,2.36419,569400,0.317808219178082,0.073972602739726
2014,Gujarath,6031,0,7948,1,307,46,3612,0.03612,393709,1.10808,170789,0.57707,633923,0.841095890410959,0.126027397260274
2015,Gujarath,7900,0,9647,0,206,19,1075,0.01075,445676,1.53794,170805,0.67137,658015,0.564383561643836,0.052054794520548
2016,Gujarath,0,23793,0,0,256,25,1574,0.01574,518571,0.93091,203931,0.37679,735394,0.701369863013699,0.068493150684932
2017,Gujarath,0,33884,0,0,101,10,0,0,491475,1.8554,228528,0.88104,768727,0.276712328767123,0.027397260273973
2018,Gujarath,0,28826,0,0,86,13,0,0,431820,1.323,181797,0.56936,765934,0.235616438356164,0.035616438356164
2010,Haryana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Haryana,38827,36,25215,3,460,155,1394,0.01394,22544,1.67458,12801,1.57715,180259,1.26027397260274,0.424657534246575
2012,Haryana,47971,43,36593,2,317,77,177,0.00177,30727,2.0602,15872,1.89605,223754,0.868493150684932,0.210958904109589
2013,Haryana,53250,69,47060,1,205,35,252,0.00252,93921,2.5423,31626,1.91935,285856,0.561643835616438,0.095890410958904
2014,Haryana,14745,20,13466,1,476,56,866,0.00866,312940,0.75213,82326,0.20023,396449,1.3041095890411,0.153424657534247
2015,Haryana,19404,16,19073,0,250,24,520,0.0052,410710,1.29791,95105,0.3043,507084,0.684931506849315,0.065753424657534
2016,Haryana,9,0,1127,0,350,30,3540,0.0354,457298,0.8,115189,0.20286,572847,0.958904109589041,0.082191780821918
2017,Haryana,65,0,4149,0,131,9,0,0,425611,1.73864,134886,0.54964,593351,0.358904109589041,0.024657534246575
2018,Haryana,17,0,2268,0,120,11,0,0,374649,1.17993,128225,0.43972,641501,0.328767123287671,0.03013698630137
2010,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Himachal Pradesh,7983,0,4244,11,2689,782,2228,0.02228,1726,0.4303,1351,0.42655,44381,7.36712328767123,2.14246575342466
2012,Himachal Pradesh,10093,0,6728,4,1480,292,25,0.00025,2204,0.60469,1406,0.59573,62039,4.05479452054795,0.8
2013,Himachal Pradesh,9915,0,6930,3,1203,265,98,0.00098,7328,0.66075,3696,0.62443,69771,3.2958904109589,0.726027397260274
2014,Himachal Pradesh,3316,0,2393,1,2859,435,301,0.00301,59754,0.17766,25673,0.08029,88507,7.83287671232877,1.19178082191781
2015,Himachal Pradesh,3699,0,2869,0,1406,180,682,0.00682,82867,0.26217,37301,0.11757,120239,3.85205479452055,0.493150684931507
2016,Himachal Pradesh,0,0,0,0,2425,313,1222,0.01222,78722,0.1384,31811,0.05709,110985,6.64383561643836,0.857534246575342
2017,Himachal Pradesh,0,0,0,0,575,68,6589,0.06589,106680,0.41616,37742,0.14784,146048,1.57534246575342,0.186301369863014
2018,Himachal Pradesh,0,0,0,0,181,33,0,0,113665,0.6762,60396,0.49041,315195,0.495890410958904,0.09041095890411
2010,Jammu and kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Jammu and kashmir,2086,0,398,2,5982,2878,1919,0.01919,7061,0.22992,172,0.16103,23164,16.3890410958904,7.88493150684932
2012,Jammu and kashmir,3120,0,727,8,3832,1866,61,0.00061,6938,0.28728,213,0.21278,28960,10.4986301369863,5.11232876712329
2013,Jammu and kashmir,2925,0,532,10,4108,2397,63,0.00063,9004,0.27152,307,0.18455,27459,11.2547945205479,6.56712328767123
2014,Jammu and kashmir,961,0,115,1,13293,7465,2096,0.02096,18098,0.08007,1466,0.03223,29587,36.4191780821918,20.4520547945205
2015,Jammu and kashmir,1640,0,231,2,4647,2461,1942,0.01942,40197,0.14919,3341,0.03157,50341,12.7315068493151,6.74246575342466
2016,Jammu and kashmir,8,0,0,5,8635,3793,193,0.00193,32780,0.06921,2924,0.017,42756,23.6575342465753,10.3917808219178
2017,Jammu and kashmir,5,3,5,0,1562,478,915,0.00915,45791,0.23208,6697,0.07365,67300,4.27945205479452,1.30958904109589
