,state_code,file_closing_days,file_reach_days,decide_close_days,Year
0,Andhra Pradesh,885.3202312138728,246.56466477254173,0.3808040233826459,2011
1,Assam,893.3290050364736,317.1119166827616,2.4316064716456935,2011
2,Bihar,1563.6037207793086,852.3053012992983,6.083379527601639,2011
3,Chandigarh,833.9516041694869,156.2685122512522,35.29132259374577,2011
4,Chattisgarh,1127.9176330011135,379.6628465904462,23.631045813757705,2011
5,DNH at silvasa,909.1195814648729,101.59790732436473,0.9581464872944694,2011
6,Delhi,718.2349099503065,100.1618256823625,7.123379158270118,2011
7,Diu and daman,784.8029197080292,88.2080291970803,0.0,2011
8,Goa,483.57582599118945,96.20859030837005,20.42852422907489,2011
9,Gujarath,913.6646697957839,382.14665678524375,3.7598196640316206,2011
10,Haryana,823.9104208450609,279.0565621155175,3.5816886611722536,2011
11,Himachal Pradesh,1013.2156747652103,315.0763576970192,2.614817272356064,2011
12,Jammu and kashmir,978.2531541864656,446.54181003877875,0.4436069692500956,2011
13,Jharkhand,1405.904342673326,596.4412723270973,3.1342800304749003,2011
14,Karnataka,687.7003782531492,169.726009945746,6.921983443431725,2011
15,Kerala,883.7127957547339,282.83627000035796,15.151121272863945,2011
16,Ladakh,2526.6666666666665,2243.0,0.0,2011
17,Madhya Pradesh,833.4785397985844,360.0436257252554,8.950651963249635,2011
18,Maharashtra,762.8286904994965,89.74535108831813,2.1021756126147912,2011
19,Manipur,1186.6376146788991,609.8064220183486,0.563302752293578,2011
20,Meghalaya,687.0967741935484,129.78552746294682,0.037489102005231034,2011
21,Mizoram,551.215625,372.7796875,0.0,2011
22,Orissa,1595.0635488783184,931.2121854346223,7.432848239375814,2011
23,Punjab,891.4246336801868,294.7698207080666,2.3786123835815913,2011
24,Rajasthan,1321.8892189092028,558.8622373454832,5.03735797912221,2011
25,Sikkim,701.7374701670644,423.48926014319807,2.5632458233890216,2011
26,Tamilnadu,1077.501884000789,361.01431741960937,0.9950976523969225,2011
27,Telangana,953.4339413493799,285.06488583616226,0.5094963330991004,2011
28,Tripura,818.2018984094408,216.2612878399179,0.30631092868137505,2011
29,Uttar pradesh,1197.2276875743064,526.3726361039909,14.725859319026155,2011
30,Uttarakhand,859.698478369523,412.89695673904595,5.660215471760982,2011
31,West Bengal,1152.5561948639547,605.9853418176559,2.315321364378241,2011
