,state_code,file_closing_days,file_reach_days,decide_close_days,Year
0,Andhra Pradesh,1000.34085942561,404.3082703519758,0.4236838695746059,2010
1,Assam,0.0,0.0,0.0,2010
2,Bihar,0.0,0.0,0.0,2010
3,Chandigarh,0.0,0.0,0.0,2010
4,Chattisgarh,0.0,0.0,0.0,2010
5,DNH at silvasa,0.0,0.0,0.0,2010
6,Delhi,0.0,0.0,0.0,2010
7,Diu and daman,0.0,0.0,0.0,2010
8,Goa,0.0,0.0,0.0,2010
9,Gujarath,0.0,0.0,0.0,2010
10,Haryana,0.0,0.0,0.0,2010
11,Himachal Pradesh,0.0,0.0,0.0,2010
12,Jammu and kashmir,0.0,0.0,0.0,2010
13,Jharkhand,0.0,0.0,0.0,2010
14,Karnataka,790.3720535901193,360.2851999162654,13.26035168515805,2010
15,Kerala,0.0,0.0,0.0,2010
16,Ladakh,0.0,0.0,0.0,2010
17,Madhya Pradesh,0.0,0.0,0.0,2010
18,Maharashtra,828.6091161630185,114.54193566717507,3.7478410005204585,2010
19,Manipur,0.0,0.0,0.0,2010
20,Meghalaya,0.0,0.0,0.0,2010
21,Mizoram,0.0,0.0,0.0,2010
22,Orissa,0.0,0.0,0.0,2010
23,Punjab,0.0,0.0,0.0,2010
24,Rajasthan,0.0,0.0,0.0,2010
25,Sikkim,0.0,0.0,0.0,2010
26,Tamilnadu,0.0,0.0,0.0,2010
27,Telangana,0.0,0.0,0.0,2010
28,Tripura,0.0,0.0,0.0,2010
29,Uttar pradesh,0.0,0.0,0.0,2010
30,Uttarakhand,0.0,0.0,0.0,2010
31,West Bengal,0.0,0.0,0.0,2010
